name	run	timing
benchmark/ssb/benchmarks/sf10/q2.3-t4.benchmark	3	0.125710
benchmark/ssb/benchmarks/sf10/q2.3-t4.benchmark	4	0.124527
benchmark/ssb/benchmarks/sf10/q2.3-t4.benchmark	5	0.126733
benchmark/ssb/benchmarks/sf10/q2.3-t8.benchmark	1	0.077527
benchmark/ssb/benchmarks/sf10/q2.3-t8.benchmark	2	0.078766
benchmark/ssb/benchmarks/sf10/q2.3-t8.benchmark	3	0.078825
benchmark/ssb/benchmarks/sf10/q2.3-t8.benchmark	4	0.078121
benchmark/ssb/benchmarks/sf10/q2.3-t8.benchmark	5	0.078391
benchmark/ssb/benchmarks/sf10/q3.1-t1.benchmark	1	0.712488
benchmark/ssb/benchmarks/sf10/q3.1-t1.benchmark	2	0.719182
benchmark/ssb/benchmarks/sf10/q3.1-t1.benchmark	3	0.714735
benchmark/ssb/benchmarks/sf10/q3.1-t1.benchmark	4	0.717593
benchmark/ssb/benchmarks/sf10/q3.1-t1.benchmark	5	0.719323
benchmark/ssb/benchmarks/sf10/q3.1-t4.benchmark	1	0.212004
benchmark/ssb/benchmarks/sf10/q3.1-t4.benchmark	2	0.213070
benchmark/ssb/benchmarks/sf10/q3.1-t4.benchmark	3	0.213719
benchmark/ssb/benchmarks/sf10/q3.1-t4.benchmark	4	0.213308
benchmark/ssb/benchmarks/sf10/q3.1-t4.benchmark	5	0.215306
benchmark/ssb/benchmarks/sf10/q3.1-t8.benchmark	1	0.142443
benchmark/ssb/benchmarks/sf10/q3.1-t8.benchmark	2	0.142737
benchmark/ssb/benchmarks/sf10/q3.1-t8.benchmark	3	0.142145
benchmark/ssb/benchmarks/sf10/q3.1-t8.benchmark	4	0.139229
benchmark/ssb/benchmarks/sf10/q3.1-t8.benchmark	5	0.140996
benchmark/ssb/benchmarks/sf10/q3.2-t1.benchmark	1	0.539262
benchmark/ssb/benchmarks/sf10/q3.2-t1.benchmark	2	0.553703
benchmark/ssb/benchmarks/sf10/q3.2-t1.benchmark	3	0.553601
benchmark/ssb/benchmarks/sf10/q3.2-t1.benchmark	4	0.543427
benchmark/ssb/benchmarks/sf10/q3.2-t1.benchmark	5	0.547131
benchmark/ssb/benchmarks/sf10/q3.2-t4.benchmark	1	0.155641
benchmark/ssb/benchmarks/sf10/q3.2-t4.benchmark	2	0.156936
benchmark/ssb/benchmarks/sf10/q3.2-t4.benchmark	3	0.157678
benchmark/ssb/benchmarks/sf10/q3.2-t4.benchmark	4	0.156688
benchmark/ssb/benchmarks/sf10/q3.2-t4.benchmark	5	0.155420
benchmark/ssb/benchmarks/sf10/q3.2-t8.benchmark	1	0.098519
benchmark/ssb/benchmarks/sf10/q3.2-t8.benchmark	2	0.099841
benchmark/ssb/benchmarks/sf10/q3.2-t8.benchmark	3	0.099521
benchmark/ssb/benchmarks/sf10/q3.2-t8.benchmark	4	0.099054
benchmark/ssb/benchmarks/sf10/q3.2-t8.benchmark	5	0.098715
benchmark/ssb/benchmarks/sf10/q3.3-t1.benchmark	1	0.496500
benchmark/ssb/benchmarks/sf10/q3.3-t1.benchmark	2	0.499304
benchmark/ssb/benchmarks/sf10/q3.3-t1.benchmark	3	0.499530
benchmark/ssb/benchmarks/sf10/q3.3-t1.benchmark	4	0.499535
benchmark/ssb/benchmarks/sf10/q3.3-t1.benchmark	5	0.497447
benchmark/ssb/benchmarks/sf10/q3.3-t4.benchmark	1	0.139069
benchmark/ssb/benchmarks/sf10/q3.3-t4.benchmark	2	0.139253
benchmark/ssb/benchmarks/sf10/q3.3-t4.benchmark	3	0.138087
benchmark/ssb/benchmarks/sf10/q3.3-t4.benchmark	4	0.137656
benchmark/ssb/benchmarks/sf10/q3.3-t4.benchmark	5	0.138178
benchmark/ssb/benchmarks/sf10/q3.3-t8.benchmark	1	0.085491
benchmark/ssb/benchmarks/sf10/q3.3-t8.benchmark	2	0.085298
benchmark/ssb/benchmarks/sf10/q3.3-t8.benchmark	3	0.089409
benchmark/ssb/benchmarks/sf10/q3.3-t8.benchmark	4	0.086424
benchmark/ssb/benchmarks/sf10/q3.3-t8.benchmark	5	0.086217
benchmark/ssb/benchmarks/sf10/q3.4-t1.benchmark	1	0.338555
benchmark/ssb/benchmarks/sf10/q3.4-t1.benchmark	2	0.342336
benchmark/ssb/benchmarks/sf10/q3.4-t1.benchmark	3	0.344453
